model,split,problem_idx,variant,run_idx,original_answer,predicted_answer,is_correct_exact,input_tokens,output_tokens,error
sonnet-3.7,train,10,edge_deletion,1,896,584,False,360,313,
sonnet-3.7,train,7,original,1,244,702,False,267,888,
sonnet-3.7,train,10,node_deletion,1,896,584,False,371,369,
sonnet-3.7,train,6,edge_deletion,1,396,720,False,280,1107,
sonnet-3.7,train,8,edge_deletion,1,029,3,False,413,597,
sonnet-3.7,train,9,edge_deletion,1,156,272,False,319,699,
sonnet-3.7,train,9,original,1,156,206,False,337,714,
sonnet-3.7,train,9,node_deletion,1,156,84,False,341,587,
sonnet-3.7,train,10,original,1,896,584,False,373,649,
sonnet-3.7,train,8,node_deletion,1,029,3,False,417,818,
sonnet-3.7,train,13,edge_deletion,1,681,775,False,293,449,
sonnet-3.7,train,13,original,1,681,505,False,308,625,
sonnet-3.7,train,12,edge_deletion,1,039,0,False,396,684,
sonnet-3.7,train,8,original,1,029,3,False,412,1223,
sonnet-3.7,train,11,node_deletion,1,161,5,False,426,960,
sonnet-3.7,train,11,original,1,161,8,False,445,984,
sonnet-3.7,train,16,original,1,243,32,False,571,379,
sonnet-3.7,train,12,original,1,039,501,False,396,951,
sonnet-3.7,train,14,edge_deletion,1,83,4,False,363,617,
sonnet-3.7,train,12,node_deletion,1,039,501,False,385,701,
sonnet-3.7,train,14,original,1,83,1,False,686,828,
sonnet-3.7,train,11,edge_deletion,1,161,2,False,413,1189,
sonnet-3.7,train,15,original,1,196,196,True,255,709,
sonnet-3.7,train,15,node_deletion,1,196,44,False,259,716,
sonnet-3.7,train,16,node_deletion,1,243,8,False,317,531,
sonnet-3.7,train,13,node_deletion,1,681,97,False,293,975,
sonnet-3.7,train,17,original,1,503,358,False,367,678,
sonnet-3.7,train,16,edge_deletion,1,243,32,False,312,636,
sonnet-3.7,train,14,node_deletion,1,83,1,False,365,930,
sonnet-3.7,train,17,edge_deletion,1,503,506,False,357,585,
sonnet-3.7,train,17,node_deletion,1,503,253,False,361,524,
sonnet-3.7,train,19,node_deletion,1,190,90,False,307,595,
sonnet-3.7,train,15,edge_deletion,1,196,44,False,254,867,
sonnet-3.7,train,19,edge_deletion,1,190,90,False,322,488,
sonnet-3.7,train,18,original,1,279,406,False,348,868,
sonnet-3.7,train,18,node_deletion,1,279,3448,False,349,1038,
sonnet-3.7,train,20,edge_deletion,1,050,0,False,283,875,
sonnet-3.7,train,22,node_deletion,1,245,65,False,299,556,
sonnet-3.7,train,20,node_deletion,1,050,4,False,282,902,
sonnet-3.7,train,20,original,1,050,78,False,274,1057,
sonnet-3.7,train,22,edge_deletion,1,245,20,False,300,581,
sonnet-3.7,train,23,node_deletion,1,669,234,False,309,746,
sonnet-3.7,train,21,original,1,754,606,False,327,883,
sonnet-3.7,train,21,edge_deletion,1,754,827,False,329,915,
sonnet-3.7,train,18,edge_deletion,1,279,284,False,329,1228,
sonnet-3.7,train,24,original,1,340,884,False,388,728,
sonnet-3.7,train,25,edge_deletion,1,132,48,False,346,820,
sonnet-3.7,train,19,original,1,190,195,False,307,1713,
sonnet-3.7,train,25,node_deletion,1,132,180,False,344,968,
sonnet-3.7,train,25,original,1,132,168,False,332,941,
sonnet-3.7,train,22,original,1,245,25,False,297,1217,
sonnet-3.7,train,23,edge_deletion,1,669,234,False,304,1197,
sonnet-3.7,train,26,original,1,223,23,False,363,844,
sonnet-3.7,train,27,node_deletion,1,107,3,False,349,611,
sonnet-3.7,train,27,edge_deletion,1,107,2,False,330,584,
sonnet-3.7,train,27,original,1,107,12,False,353,616,
sonnet-3.7,train,28,original,1,157,77,False,398,678,
sonnet-3.7,train,28,node_deletion,1,157,500,False,405,692,
sonnet-3.7,train,28,edge_deletion,1,157,6,False,444,750,
sonnet-3.7,train,0,original,2,277,277,True,370,724,
sonnet-3.7,train,21,node_deletion,1,754,304,False,333,1981,
sonnet-3.7,train,1,node_deletion,2,62,73809,False,282,608,
sonnet-3.7,train,0,edge_deletion,2,277,17,False,351,716,
sonnet-3.7,train,0,node_deletion,2,277,13,False,362,812,
sonnet-3.7,train,2,original,2,079,16241,False,344,489,
sonnet-3.7,train,29,original,1,393,729,False,427,882,
sonnet-3.7,train,1,original,2,62,20,False,283,888,
sonnet-3.7,train,1,edge_deletion,2,62,112,False,265,594,
sonnet-3.7,train,2,node_deletion,2,079,5,False,358,653,
sonnet-3.7,train,23,original,1,669,894,False,298,2018,
sonnet-3.7,train,3,node_deletion,2,070,1,False,261,564,
sonnet-3.7,train,6,edge_deletion,2,396,720,False,280,266,
sonnet-3.7,train,6,node_deletion,2,396,720,False,280,343,
sonnet-3.7,train,3,original,2,070,71,False,255,838,
sonnet-3.7,train,5,original,2,441,4,False,272,676,
sonnet-3.7,train,2,edge_deletion,2,079,5,False,339,744,
sonnet-3.7,train,6,original,2,396,276,False,284,628,
sonnet-3.7,train,4,original,2,065,65,True,357,972,
sonnet-3.7,train,7,edge_deletion,2,244,976,False,263,518,
sonnet-3.7,train,4,node_deletion,2,065,2,False,338,862,
sonnet-3.7,train,3,edge_deletion,2,070,831,False,255,817,
sonnet-3.7,train,5,node_deletion,2,441,441,False,278,858,
sonnet-3.7,train,7,node_deletion,2,244,976,False,264,763,
sonnet-3.7,train,4,edge_deletion,2,065,8,False,338,1225,
sonnet-3.7,train,9,node_deletion,2,156,157,False,341,561,
sonnet-3.7,train,8,original,2,029,23,False,412,768,
sonnet-3.7,train,9,original,2,156,105,False,337,676,
sonnet-3.7,train,5,edge_deletion,2,441,4,False,274,1197,
sonnet-3.7,train,8,edge_deletion,2,029,82,False,413,655,
sonnet-3.7,train,10,edge_deletion,2,896,32,False,360,477,
sonnet-3.7,train,9,edge_deletion,2,156,212,False,319,635,
sonnet-3.7,train,10,node_deletion,2,896,584,False,371,484,
sonnet-3.7,train,10,original,2,896,24,False,373,635,
sonnet-3.7,train,8,node_deletion,2,029,14,False,417,804,
sonnet-3.7,train,13,original,2,681,97,False,308,566,
sonnet-3.7,train,7,original,2,244,122,False,267,1459,
sonnet-3.7,train,12,node_deletion,2,039,502,False,385,634,
sonnet-3.7,train,12,original,2,039,482,False,396,765,
sonnet-3.7,train,16,original,2,243,32,False,571,268,
sonnet-3.7,train,14,node_deletion,2,83,1,False,365,464,
sonnet-3.7,train,11,edge_deletion,2,161,5,False,413,991,
sonnet-3.7,train,11,node_deletion,2,161,7,False,426,990,
sonnet-3.7,train,15,edge_deletion,2,196,1994,False,254,445,
sonnet-3.7,train,14,original,2,83,8,False,686,602,
sonnet-3.7,train,14,edge_deletion,2,83,7776,False,363,488,
sonnet-3.7,train,12,edge_deletion,2,039,502,False,396,1037,
sonnet-3.7,train,13,edge_deletion,2,681,1853,False,293,815,
sonnet-3.7,train,16,edge_deletion,2,243,32,False,312,457,
sonnet-3.7,train,13,node_deletion,2,681,1541,False,293,1009,
sonnet-3.7,train,15,node_deletion,2,196,444,False,259,895,
sonnet-3.7,train,17,original,2,503,63,False,367,491,
sonnet-3.7,train,15,original,2,196,196,True,255,872,
sonnet-3.7,train,11,original,2,161,4,False,445,1456,
sonnet-3.7,train,16,node_deletion,2,243,9,False,317,692,
sonnet-3.7,train,17,edge_deletion,2,503,1007,False,357,628,
sonnet-3.7,train,20,original,2,050,41,False,274,474,
sonnet-3.7,train,17,node_deletion,2,503,25,False,361,731,
sonnet-3.7,train,18,original,2,279,36,False,348,972,
sonnet-3.7,train,19,edge_deletion,2,190,170,False,322,775,
sonnet-3.7,train,19,node_deletion,2,190,90,False,307,826,
sonnet-3.7,train,22,edge_deletion,2,245,25,False,300,447,
sonnet-3.7,train,20,node_deletion,2,050,12,False,282,755,
sonnet-3.7,train,18,node_deletion,2,279,279,False,349,1050,
sonnet-3.7,train,22,node_deletion,2,245,25,False,299,456,
sonnet-3.7,train,21,edge_deletion,2,754,209,False,329,702,
sonnet-3.7,train,21,node_deletion,2,754,427,False,333,689,
sonnet-3.7,train,22,original,2,245,125,False,297,694,
sonnet-3.7,train,19,original,2,190,195,False,307,1299,
sonnet-3.7,train,18,edge_deletion,2,279,19,False,329,1302,
sonnet-3.7,train,23,node_deletion,2,669,789,False,309,803,
sonnet-3.7,train,21,original,2,754,1681,False,327,913,
sonnet-3.7,train,23,edge_deletion,2,669,111,False,304,1033,
sonnet-3.7,train,20,edge_deletion,2,050,4+2\sqrt{2},False,283,1474,
sonnet-3.7,train,24,original,2,340,425,False,388,1046,
sonnet-3.7,train,27,node_deletion,2,107,2,False,349,480,
sonnet-3.7,train,27,original,2,107,12,False,353,646,
sonnet-3.7,train,25,node_deletion,2,132,36,False,344,1040,
sonnet-3.7,train,27,edge_deletion,2,107,2020,False,330,759,
sonnet-3.7,train,28,original,2,157,77,False,398,718,
sonnet-3.7,train,26,original,2,223,256,False,363,882,
sonnet-3.7,train,28,edge_deletion,2,157,144,False,444,720,
sonnet-3.7,train,29,original,2,393,729,False,427,853,
sonnet-3.7,train,1,node_deletion,3,62,73809,False,282,643,
sonnet-3.7,train,28,node_deletion,2,157,15,False,405,1020,
sonnet-3.7,train,0,original,3,277,277,True,370,965,
sonnet-3.7,train,25,original,2,132,210,False,332,1443,
sonnet-3.7,train,0,node_deletion,3,277,13,False,362,900,
sonnet-3.7,train,2,original,3,079,4559,False,344,597,
sonnet-3.7,train,25,edge_deletion,2,132,138,False,346,1438,
sonnet-3.7,train,1,original,3,62,52,False,283,931,
sonnet-3.7,train,1,edge_deletion,3,62,999,False,265,526,
sonnet-3.7,train,0,edge_deletion,3,277,13,False,351,981,
sonnet-3.7,train,3,original,3,070,70,True,255,630,
sonnet-3.7,train,6,edge_deletion,3,396,720,False,280,201,
sonnet-3.7,train,6,node_deletion,3,396,720,False,280,243,
sonnet-3.7,train,3,node_deletion,3,070,996,False,261,584,
sonnet-3.7,train,23,original,2,669,$S = \frac{1}{81}$,False,298,2048,
sonnet-3.7,train,4,edge_deletion,3,065,8,False,338,761,
sonnet-3.7,train,7,edge_deletion,3,244,976,False,263,432,
sonnet-3.7,train,3,edge_deletion,3,070,802,False,255,731,
sonnet-3.7,train,7,node_deletion,3,244,748,False,264,500,
sonnet-3.7,train,4,original,3,065,12,False,357,920,
sonnet-3.7,train,2,node_deletion,3,079,7,False,358,1013,
sonnet-3.7,train,5,original,3,441,12,False,272,844,
sonnet-3.7,train,2,edge_deletion,3,079,2,False,339,1117,
sonnet-3.7,train,7,original,3,244,404,False,267,797,
sonnet-3.7,train,10,original,3,896,56,False,373,446,
sonnet-3.7,train,9,original,3,156,84,False,337,541,
sonnet-3.7,train,5,edge_deletion,3,441,1,False,274,1048,
sonnet-3.7,train,8,edge_deletion,3,029,2,False,413,616,
sonnet-3.7,train,6,original,3,396,276,False,284,1109,
sonnet-3.7,train,9,edge_deletion,3,156,113,False,319,708,
sonnet-3.7,train,4,node_deletion,3,065,5,False,338,1559,
sonnet-3.7,train,5,node_deletion,3,441,441,False,278,1468,
sonnet-3.7,train,8,node_deletion,3,029,10,False,417,926,
sonnet-3.7,train,10,node_deletion,3,896,584,False,371,540,
sonnet-3.7,train,12,node_deletion,3,039,501,False,385,538,
sonnet-3.7,train,9,node_deletion,3,156,133,False,341,913,
sonnet-3.7,train,10,edge_deletion,3,896,584,False,360,616,
sonnet-3.7,train,8,original,3,029,3,False,412,1187,
sonnet-3.7,train,11,edge_deletion,3,161,6,False,413,853,
sonnet-3.7,train,11,node_deletion,3,161,9,False,426,977,
sonnet-3.7,train,14,original,3,83,42,False,686,638,
sonnet-3.7,train,12,original,3,039,251,False,396,991,
sonnet-3.7,train,14,edge_deletion,3,83,25,False,363,484,
sonnet-3.7,train,12,edge_deletion,3,039,P,False,396,1011,
sonnet-3.7,train,15,node_deletion,3,196,444,False,259,667,
sonnet-3.7,train,14,node_deletion,3,83,25,False,365,686,
sonnet-3.7,train,13,original,3,681,1541,False,308,940,
sonnet-3.7,train,15,original,3,196,196,True,255,920,
sonnet-3.7,train,17,node_deletion,3,503,126,False,361,471,
sonnet-3.7,train,13,edge_deletion,3,681,775,False,293,870,
sonnet-3.7,train,15,edge_deletion,3,196,16,False,254,719,
sonnet-3.7,train,13,node_deletion,3,681,159,False,293,1126,
sonnet-3.7,train,16,edge_deletion,3,243,14,False,312,491,
sonnet-3.7,train,11,original,3,161,12,False,445,1747,
sonnet-3.7,train,16,node_deletion,3,243,47,False,317,801,
sonnet-3.7,train,17,original,3,503,501,False,367,625,
sonnet-3.7,train,16,original,3,243,80,False,571,881,
sonnet-3.7,train,18,node_deletion,3,279,919,False,349,689,
sonnet-3.7,train,19,node_deletion,3,190,90,False,307,557,
sonnet-3.7,train,20,original,3,050,9,False,274,733,
sonnet-3.7,train,18,edge_deletion,3,279,27,False,329,789,
sonnet-3.7,train,20,edge_deletion,3,050,4,False,283,707,
sonnet-3.7,train,21,edge_deletion,3,754,103,False,329,488,
sonnet-3.7,train,18,original,3,279,208,False,348,1112,
sonnet-3.7,train,19,edge_deletion,3,190,90,False,322,945,
sonnet-3.7,train,21,node_deletion,3,754,409,False,333,696,
sonnet-3.7,train,20,node_deletion,3,050,3,False,282,976,
sonnet-3.7,train,19,original,3,190,190,True,307,1535,
sonnet-3.7,train,23,node_deletion,3,669,123,False,309,823,
sonnet-3.7,train,22,edge_deletion,3,245,5,False,300,795,
sonnet-3.7,train,21,original,3,754,425,False,327,1105,
sonnet-3.7,train,24,original,3,340,340,True,388,860,
sonnet-3.7,train,23,edge_deletion,3,669,789,False,304,937,
sonnet-3.7,train,17,edge_deletion,3,503,50,False,357,1843,
sonnet-3.7,train,27,node_deletion,3,107,1,False,349,607,
sonnet-3.7,train,26,original,3,223,17,False,363,719,
sonnet-3.7,train,27,original,3,107,12,False,353,655,
sonnet-3.7,train,25,original,3,132,72,False,332,1065,
sonnet-3.7,train,22,node_deletion,3,245,75,False,299,980,
sonnet-3.7,train,23,original,3,669,111,False,298,1177,
sonnet-3.7,train,25,node_deletion,3,132,252,False,344,1326,
sonnet-3.7,train,22,original,3,245,65,False,297,1393,
sonnet-3.7,train,28,edge_deletion,3,157,2048,False,444,774,
sonnet-3.7,train,27,edge_deletion,3,107,91,False,330,888,
sonnet-3.7,train,0,original,4,277,277,True,370,733,
sonnet-3.7,train,28,node_deletion,3,157,0,False,405,1003,
sonnet-3.7,train,25,edge_deletion,3,132,132,False,346,1373,
sonnet-3.7,train,28,original,3,157,77,False,398,1299,
sonnet-3.7,train,29,original,3,393,729,False,427,1076,
sonnet-3.7,train,1,node_deletion,4,62,1638,False,282,779,
sonnet-3.7,train,3,original,4,070,62,False,255,700,
sonnet-3.7,train,2,original,4,079,16241,False,344,782,
sonnet-3.7,train,3,node_deletion,4,070,N-2,False,261,573,
sonnet-3.7,train,1,original,4,62,21,False,283,1196,
sonnet-3.7,train,3,edge_deletion,4,070,999,False,255,628,
sonnet-3.7,train,1,edge_deletion,4,62,81,False,265,951,
sonnet-3.7,train,6,node_deletion,4,396,720,False,280,220,
sonnet-3.7,train,4,node_deletion,4,065,8,False,338,794,
sonnet-3.7,train,4,edge_deletion,4,065,8,False,338,802,
sonnet-3.7,train,2,edge_deletion,4,079,5,False,339,1227,
sonnet-3.7,train,0,node_deletion,4,277,61,False,362,1568,
sonnet-3.7,train,6,original,4,396,511,False,284,771,
sonnet-3.7,train,5,node_deletion,4,441,1,False,278,830,
sonnet-3.7,train,5,edge_deletion,4,441,9,False,274,975,
sonnet-3.7,train,9,node_deletion,4,156,169,False,341,569,
sonnet-3.7,train,2,node_deletion,4,079,5,False,358,1711,
sonnet-3.7,train,8,edge_deletion,4,029,4,False,413,530,
sonnet-3.7,train,9,original,4,156,99,False,337,836,
sonnet-3.7,train,7,node_deletion,4,244,64,False,264,882,
sonnet-3.7,train,10,edge_deletion,4,896,16,False,360,429,
sonnet-3.7,train,8,node_deletion,4,029,39,False,417,764,
sonnet-3.7,train,10,original,4,896,792,False,373,432,
sonnet-3.7,train,10,node_deletion,4,896,584,False,371,477,
sonnet-3.7,train,5,original,4,441,1,False,272,1514,
sonnet-3.7,train,7,original,4,244,244,True,267,1200,
sonnet-3.7,train,7,edge_deletion,4,244,989,False,263,1053,
sonnet-3.7,train,9,edge_deletion,4,156,85,False,319,700,
sonnet-3.7,train,4,original,4,065,8,False,357,1944,
sonnet-3.7,train,8,original,4,029,13,False,412,1163,
sonnet-3.7,train,0,edge_deletion,4,277,4,False,351,1859,
sonnet-3.7,train,6,edge_deletion,4,396,770,False,280,1682,
sonnet-3.7,train,14,original,4,83,36,False,686,523,
sonnet-3.7,train,11,original,4,161,4,False,445,1248,
sonnet-3.7,train,13,original,4,681,76739,False,308,712,
sonnet-3.7,train,12,node_deletion,4,039,501,False,385,777,
sonnet-3.7,train,14,node_deletion,4,83,"45,769,225",False,365,657,
sonnet-3.7,train,12,original,4,039,26,False,396,898,
sonnet-3.7,train,16,edge_deletion,4,243,11,False,312,382,
sonnet-3.7,train,13,edge_deletion,4,681,389,False,293,685,
sonnet-3.7,train,15,edge_deletion,4,196,8,False,254,607,
sonnet-3.7,train,15,original,4,196,196,True,255,740,
sonnet-3.7,train,11,node_deletion,4,161,2,False,426,1303,
sonnet-3.7,train,11,edge_deletion,4,161,5,False,413,1238,
sonnet-3.7,train,12,edge_deletion,4,039,502,False,396,999,
sonnet-3.7,train,16,node_deletion,4,243,4,False,317,597,
sonnet-3.7,train,14,edge_deletion,4,83,368,False,363,704,
sonnet-3.7,train,15,node_deletion,4,196,48,False,259,1037,
sonnet-3.7,train,17,original,4,503,506,False,367,623,
sonnet-3.7,train,17,node_deletion,4,503,126,False,361,595,
sonnet-3.7,train,13,node_deletion,4,681,1545,False,293,1101,
sonnet-3.7,train,17,edge_deletion,4,503,405,False,357,513,
sonnet-3.7,train,16,original,4,243,81,False,571,1290,
sonnet-3.7,train,18,edge_deletion,4,279,9,False,329,576,
sonnet-3.7,train,18,original,4,279,9,False,348,580,
sonnet-3.7,train,19,edge_deletion,4,190,90,False,322,568,
sonnet-3.7,train,19,node_deletion,4,190,89,False,307,751,
sonnet-3.7,train,22,original,4,245,119,False,297,653,
sonnet-3.7,train,20,edge_deletion,4,050,3,False,283,735,
sonnet-3.7,train,21,edge_deletion,4,754,308,False,329,692,
sonnet-3.7,train,22,edge_deletion,4,245,50,False,300,634,
sonnet-3.7,train,21,node_deletion,4,754,209,False,333,772,
sonnet-3.7,train,18,node_deletion,4,279,279,False,349,1103,
sonnet-3.7,train,20,original,4,050,50,True,274,1018,
sonnet-3.7,train,21,original,4,754,980,False,327,1016,
sonnet-3.7,train,20,node_deletion,4,050,343,False,282,1072,
sonnet-3.7,train,19,original,4,190,150,False,307,1356,
sonnet-3.7,train,23,edge_deletion,4,669,123,False,304,832,
sonnet-3.7,train,24,original,4,340,340,True,388,904,
sonnet-3.7,train,25,edge_deletion,4,132,66,False,346,825,
sonnet-3.7,train,26,original,4,223,23,False,363,761,
sonnet-3.7,train,25,original,4,132,210,False,332,997,
sonnet-3.7,train,27,node_deletion,4,107,3,False,349,565,
sonnet-3.7,train,23,node_deletion,4,669,123,False,309,1327,
sonnet-3.7,train,28,node_deletion,4,157,256,False,405,601,
sonnet-3.7,train,27,original,4,107,12,False,353,779,
sonnet-3.7,train,22,node_deletion,4,245,52,False,299,1573,
sonnet-3.7,train,23,original,4,669,0,False,298,1499,
sonnet-3.7,train,28,edge_deletion,4,157,877,False,444,677,
sonnet-3.7,train,27,edge_deletion,4,107,90,False,330,807,
sonnet-3.7,train,28,original,4,157,84,False,398,1064,
sonnet-3.7,train,25,node_deletion,4,132,132,False,344,1404,
sonnet-3.7,train,29,original,4,393,243,False,427,960,
deepseek-r1,train,4,original,0,065,65,True,315,2134,
deepseek-r1,train,0,original,0,277,277,True,337,2211,
deepseek-r1,train,6,node_deletion,0,396,720,False,249,2539,
deepseek-r1,train,2,original,0,079,79,True,306,3378,
deepseek-r1,train,5,original,0,441,441,True,242,3382,
deepseek-r1,train,3,original,0,070,70,True,231,3866,
deepseek-r1,train,3,node_deletion,0,070,821,False,235,4376,
deepseek-r1,train,6,edge_deletion,0,396,720,False,249,2108,
deepseek-r1,train,3,edge_deletion,0,070,821,False,231,5092,
deepseek-r1,train,1,original,0,62,62,True,255,5513,
deepseek-r1,train,7,edge_deletion,0,244,976,False,235,2973,
deepseek-r1,train,7,original,0,244,244,True,239,4366,
deepseek-r1,train,7,node_deletion,0,244,244,False,236,3980,
deepseek-r1,train,5,edge_deletion,0,441,729,False,243,7881,
deepseek-r1,train,1,node_deletion,0,62,62,False,255,6632,
deepseek-r1,train,5,node_deletion,0,441,,False,247,8192,
deepseek-r1,train,6,original,0,396,396,True,251,7400,
deepseek-r1,train,4,edge_deletion,0,065,3,False,299,7582,
deepseek-r1,train,0,edge_deletion,0,277,,False,320,8188,
deepseek-r1,train,2,node_deletion,0,079,,False,321,8189,
deepseek-r1,train,0,node_deletion,0,277,,False,330,8188,
deepseek-r1,train,2,edge_deletion,0,079,,False,302,8190,
deepseek-r1,train,4,node_deletion,0,065,,False,299,8189,
deepseek-r1,train,1,edge_deletion,0,62,,False,238,8189,
